,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
156,SC0,22/02/15,Celtic,Hamilton,4,0,H,0,0,D,B Colvin,22,1,12,0,4,6,13,2,0,2,0,0
157,SC0,24/02/15,Dundee United,Inverness C,1,1,D,0,1,A,C Murray,8,7,4,3,17,16,2,2,3,4,1,1
158,SC0,28/02/15,Dundee United,Partick,0,2,A,0,2,A,G Aitken,4,8,1,3,9,12,5,2,1,0,0,0
159,SC0,28/02/15,Motherwell,Inverness C,2,1,H,0,0,D,A Muir,14,10,4,1,12,11,8,4,1,3,1,0
160,SC0,28/02/15,Ross County,Dundee,1,0,H,0,0,D,A Dallas,11,5,5,0,14,11,4,1,2,1,0,0
161,SC0,28/02/15,St Johnstone,Kilmarnock,0,0,D,0,0,D,E Anderson,7,9,5,6,7,15,12,2,4,2,0,0
162,SC0,28/02/15,St Mirren,Hamilton,1,0,H,0,0,D,A Crawford,11,7,5,1,11,10,10,5,1,2,0,0
163,SC0,01/03/15,Celtic,Aberdeen,4,0,H,1,0,H,J Beaton,10,10,8,5,14,10,4,8,2,3,0,0
164,SC0,04/03/15,Celtic,St Johnstone,0,1,A,0,0,D,C Murray,13,6,7,3,10,9,7,7,1,2,0,0
165,SC0,07/03/15,Motherwell,Kilmarnock,1,1,D,1,1,D,J Beaton,17,7,8,3,13,13,11,3,1,1,0,1
166,SC0,07/03/15,Ross County,Partick,1,0,H,1,0,H,A Muir,7,15,4,4,5,14,2,5,1,4,0,1
167,SC0,13/03/15,Aberdeen,Motherwell,2,1,H,0,1,A,A Crawford,14,7,5,4,5,16,7,2,0,3,0,0
168,SC0,14/03/15,Hamilton,Ross County,2,2,D,2,1,H,C Thomson,9,6,4,3,9,13,3,4,1,3,0,0
169,SC0,14/03/15,Kilmarnock,St Mirren,1,0,H,0,0,D,S McLean,8,5,4,2,11,11,5,8,1,2,0,0
170,SC0,14/03/15,Partick,St Johnstone,3,0,H,2,0,H,W Collum,8,2,4,1,8,10,5,5,1,1,0,0
171,SC0,20/03/15,Motherwell,Hamilton,4,0,H,0,0,D,C Murray,14,10,8,2,10,12,8,3,0,3,0,1
172,SC0,21/03/15,Celtic,Dundee United,3,0,H,3,0,H,K Clancy,12,9,5,4,10,10,7,5,2,1,0,0
173,SC0,21/03/15,Dundee,Aberdeen,1,1,D,0,1,A,C Thomson,6,6,2,3,6,12,2,10,2,1,0,0
174,SC0,21/03/15,Partick,Inverness C,1,0,H,0,0,D,S McLean,7,2,3,1,6,8,9,4,1,0,0,0
175,SC0,21/03/15,Ross County,Kilmarnock,2,1,H,1,0,H,B Madden,18,16,10,4,17,11,14,5,2,2,0,0
176,SC0,21/03/15,St Johnstone,St Mirren,2,0,H,1,0,H,J Beaton,13,6,4,2,14,17,3,1,1,1,0,0
177,SC0,03/04/15,St Mirren,Celtic,0,2,A,0,0,D,A Muir,6,13,3,7,9,10,2,5,2,0,0,0
178,SC0,04/04/15,Aberdeen,Partick,0,0,D,0,0,D,K Clancy,10,5,6,1,8,12,4,6,1,1,0,0
179,SC0,04/04/15,Dundee United,Ross County,1,2,A,1,1,D,S McLean,5,4,2,3,11,14,3,4,1,3,0,0
180,SC0,04/04/15,Hamilton,St Johnstone,1,1,D,1,0,H,G Aitken,9,8,2,3,9,10,1,8,1,2,1,0
181,SC0,04/04/15,Inverness C,Dundee,1,1,D,0,0,D,W Collum,13,5,6,1,22,12,6,1,2,2,0,0
182,SC0,04/04/15,Kilmarnock,Motherwell,1,2,A,1,1,D,E Anderson,6,14,4,9,12,11,2,9,3,3,0,0
183,SC0,07/04/15,Motherwell,St Mirren,5,0,H,3,0,H,C Thomson,14,14,8,5,15,12,8,5,0,2,0,0
184,SC0,07/04/15,Ross County,St Johnstone,1,0,H,0,0,D,K Clancy,13,6,2,2,12,16,5,5,1,4,0,0
185,SC0,08/04/15,Aberdeen,Inverness C,1,0,H,0,0,D,C Murray,12,5,3,2,8,12,6,3,2,0,0,0
186,SC0,08/04/15,Celtic,Partick,2,0,H,1,0,H,W Collum,18,5,7,3,6,8,6,4,0,0,0,1
187,SC0,08/04/15,Dundee,Dundee United,3,1,H,2,1,H,J Beaton,7,9,7,4,15,18,6,9,3,4,0,0
188,SC0,11/04/15,Dundee United,Hamilton,1,0,H,0,0,D,A Dallas,8,14,2,8,8,12,1,7,2,3,0,0
189,SC0,11/04/15,Inverness C,Celtic,1,1,D,1,1,D,C Thomson,4,9,1,5,18,18,3,9,4,3,0,0
190,SC0,11/04/15,Partick,Motherwell,2,0,H,0,0,D,B Madden,12,3,7,2,12,13,2,2,2,1,0,1
191,SC0,11/04/15,St Johnstone,Dundee,1,0,H,1,0,H,S McLean,8,7,5,1,13,13,3,2,0,1,0,0
192,SC0,12/04/15,Kilmarnock,Aberdeen,1,2,A,0,1,A,J Beaton,7,9,3,5,6,6,3,13,1,0,0,0
193,SC0,13/04/15,St Mirren,Ross County,0,3,A,0,1,A,W Collum,8,17,4,7,10,14,2,9,0,0,1,0
194,SC0,15/04/15,Celtic,Kilmarnock,4,1,H,0,0,D,A Crawford,18,2,8,2,7,11,5,1,0,0,0,0
195,SC0,18/04/15,Aberdeen,Dundee United,1,0,H,1,0,H,B Madden,9,5,2,3,9,9,13,2,0,2,1,0
196,SC0,22/04/15,Dundee,Celtic,1,2,A,0,1,A,C Murray,5,17,2,6,12,5,3,10,2,0,0,0
197,SC0,24/04/15,Hamilton,Motherwell,2,0,H,1,0,H,J Beaton,13,11,5,3,11,11,6,5,3,0,0,0
198,SC0,25/04/15,Dundee,St Johnstone,0,2,A,0,0,D,C Thomson,5,3,3,1,12,9,1,2,0,1,1,0
199,SC0,25/04/15,Inverness C,Aberdeen,1,2,A,0,0,D,A Crawford,6,6,5,4,10,13,6,5,0,1,0,0
200,SC0,25/04/15,Ross County,Partick,1,2,A,1,1,D,D Robertson,1,12,1,7,9,12,2,6,2,0,0,0
201,SC0,25/04/15,St Mirren,Kilmarnock,4,1,H,2,0,H,K Clancy,14,13,6,6,6,16,12,6,1,3,0,0
202,SC0,26/04/15,Dundee United,Celtic,0,3,A,0,0,D,W Collum,5,8,3,5,4,8,3,11,1,1,0,0
203,SC0,01/05/15,Celtic,Dundee,5,0,H,2,0,H,B Madden,19,6,6,3,9,10,6,2,1,0,0,0
204,SC0,02/05/15,Dundee United,Aberdeen,1,0,H,1,0,H,J Beaton,8,6,4,1,16,9,6,5,2,2,0,0
205,SC0,02/05/15,Kilmarnock,Hamilton,2,3,A,1,1,D,S McLean,9,11,4,7,9,8,5,5,2,2,0,0
206,SC0,02/05/15,Motherwell,Ross County,1,1,D,1,1,D,A Crawford,7,6,5,4,21,12,10,5,4,2,0,0
207,SC0,02/05/15,Partick,St Mirren,3,0,H,0,0,D,C Thomson,11,4,5,0,8,5,11,0,2,1,0,0
208,SC0,02/05/15,St Johnstone,Inverness C,1,1,D,0,0,D,A Dallas,5,6,1,3,16,21,5,3,5,3,0,1
209,SC0,05/05/15,Inverness C,Dundee United,2,1,H,2,1,H,C Murray,9,7,3,2,14,15,4,4,1,2,0,0
210,SC0,08/05/15,Motherwell,Kilmarnock,3,1,H,2,0,H,W Collum,18,10,9,3,11,12,7,5,1,4,0,0
